theta1,theta2
-1.887365440309892062e+00,-4.921680762558219846e-02
-1.928133940513752753e+00,-9.404833566420217617e-02
-1.835337144837054568e+00,-1.567576673801362730e-01
-1.836068161974002244e+00,-2.006666666093127049e-01
-1.867367401649174141e+00,-1.598705523176849885e-01
-1.867367401649174141e+00,-1.598705523176849885e-01
-1.911960355168245140e+00,-1.235600445795859287e-01
-1.911960355168245140e+00,-1.235600445795859287e-01
-1.929975431106246253e+00,-1.693053748266140912e-01
-1.947155300352664931e+00,-1.426174742642384863e-01
-1.927547582457223019e+00,-1.680466232098883628e-01
-1.933024606139013724e+00,-2.044817275001291068e-01
-1.944704452921962812e+00,-2.147586107459875104e-01
-1.957902225400078633e+00,-1.723929394604071519e-01
-1.898713376075873649e+00,-1.205815331177538530e-01
-1.925264994056423040e+00,-8.268468211567223114e-02
-1.923618575718575530e+00,-1.386980396480202438e-01
-1.940707732632002802e+00,-2.043880832017288540e-01
-1.858257711021527703e+00,-1.937988668494520228e-01
-1.871423599107028712e+00,-2.137220341561475445e-01
-1.820517024897792879e+00,-2.072990783691567862e-01
-1.829757241172933258e+00,-2.069484444017681557e-01
-1.817523639455586260e+00,-2.325371538265800231e-01
-1.798281414810940282e+00,-2.963400199785364286e-01
-1.786173794444814833e+00,-3.317973494766125464e-01
-1.736555087378492290e+00,-3.882854747221623493e-01
-1.721871027880511384e+00,-3.791304051280183773e-01
-1.750302263121619628e+00,-4.511446114475538560e-01
-1.704445330045593954e+00,-3.895917162797756239e-01
-1.677154171458928866e+00,-3.794469553401855211e-01
-1.597749204840907877e+00,-4.086264870279945338e-01
-1.626971647716238589e+00,-4.323464450965140982e-01
-1.621960386237760288e+00,-4.102384456539254209e-01
-1.592865414228595622e+00,-3.966876316418977422e-01
-1.618151157306594312e+00,-3.703753794299177726e-01
-1.718050227367046157e+00,-3.607090484898875515e-01
-1.790319144220110070e+00,-3.925420108183839685e-01
-1.667464475462724360e+00,-3.749534604606138410e-01
-1.723927393703784006e+00,-3.941441560931353005e-01
-1.730419590018259512e+00,-4.187901541626098956e-01
-1.766346941775754242e+00,-3.660337633441186345e-01
-1.723993981545078436e+00,-3.628297676747502254e-01
-1.681954155353443836e+00,-4.107430984762558968e-01
-1.682033451667113377e+00,-4.660712882725742690e-01
-1.586670230450114349e+00,-5.574544947183686094e-01
-1.572427492324956821e+00,-5.167641842743972980e-01
-1.572427492324956821e+00,-5.167641842743972980e-01
-1.571821431170350891e+00,-5.210567035261673974e-01
-1.484597734901076382e+00,-5.807861858772609409e-01
-1.462426732366729709e+00,-5.129460778674146404e-01
-1.458786425923599417e+00,-5.083913773717281259e-01
-1.527692922421368005e+00,-4.650572117849544052e-01
-1.463148627596812856e+00,-5.228217289379151200e-01
-1.454144600527851994e+00,-4.900238926476743195e-01
-1.501414932487610487e+00,-4.365841148897923185e-01
-1.503051474379880181e+00,-4.369470470223645875e-01
-1.426359219128065403e+00,-4.278808634605191230e-01
-1.404832825655021988e+00,-3.488461866443487991e-01
-1.405154166263969495e+00,-3.242785919361714786e-01
-1.390678895772957002e+00,-3.025515454544053795e-01
-1.392300957216923596e+00,-2.554464796334265930e-01
-1.317821952979000288e+00,-3.285649060569661439e-01
-1.298290391956436807e+00,-3.333609398606600660e-01
-1.344551507286178227e+00,-4.151618562286593650e-01
-1.234148553410723714e+00,-3.500465206894228798e-01
-1.230816563307820521e+00,-3.367587855202976432e-01
-1.226017605145999001e+00,-3.438734576707812018e-01
-1.250879659289131807e+00,-3.779535002140545497e-01
-1.153102588424671504e+00,-3.018533377522768513e-01
-1.088554050962045716e+00,-2.710712840252954003e-01
-1.062896287151120944e+00,-1.915480704108085963e-01
-1.062896287151120944e+00,-1.915480704108085963e-01
-9.429274268158003292e-01,-1.500534754098040990e-01
-9.407932309809178273e-01,-1.380605820321776644e-01
-9.090315798881911658e-01,-1.456036333714447462e-01
-8.779981591186247769e-01,-8.781395064723834798e-03
-8.709967680073303908e-01,1.757458451316888659e-02
-7.972080147320522725e-01,-2.109992204825723860e-02
-8.305385803424308877e-01,-4.320397133844533499e-02
-8.350733663235714310e-01,-4.961387844380964196e-02
-7.650405375951614406e-01,-1.560884427666314744e-02
-7.495932376326455149e-01,9.878187679913560948e-02
-7.789021693275615110e-01,1.546223590168030460e-01
-8.079525209982051370e-01,6.321205965693407758e-02
-7.622052578717896099e-01,7.602042049999967188e-02
-6.922313912141742076e-01,6.344979951936244311e-02
-6.279799498467912855e-01,-1.856097991192653951e-02
-6.625751050011691179e-01,-8.441003035175129177e-02
-6.664621376427340982e-01,-1.482802997832471659e-01
-6.044730078496104442e-01,-1.815411937577549872e-01
-5.539792141600706765e-01,-1.612474974726257892e-01
-5.660807074751905699e-01,-1.458174446971823857e-01
-6.005605747811856299e-01,-1.621189105250558371e-01
-5.885251568457552374e-01,-1.539266201263151390e-01
-5.709547535499662763e-01,-9.414342323708849158e-02
-5.555898759863682201e-01,-9.424714685758078803e-02
-5.297606080874098788e-01,-3.776547002582650303e-02
-4.922773671173037990e-01,-1.289235454750374543e-02
-5.157856710953957480e-01,-3.808096187630655161e-02
-5.355353187745357513e-01,-6.887487392789920504e-02
-4.547966869964244485e-01,-7.646103657310018842e-02
-5.034030684461221483e-01,-6.951282664661168065e-02
-5.430572730232857692e-01,-1.632280910267575047e-02
-5.120860348431908182e-01,-4.398601813427708423e-02
-5.816803059045668745e-01,-1.490217387350838488e-02
-6.829893736180044916e-01,2.515293960803250892e-02
-5.971171522281255584e-01,7.592396035688285527e-02
-5.579179635564595063e-01,4.564808920122079283e-02
-5.866190807539428675e-01,9.138861601870579277e-02
-5.635988197143004808e-01,7.333364290379526529e-02
-5.884024981722546510e-01,5.516593814839734766e-02
-5.336613505507656896e-01,-1.625959545600876022e-02
-5.281639236341016952e-01,3.496881274328175054e-02
-4.783746176198770961e-01,1.470789100954818240e-02
-4.644042403070895442e-01,-7.942684274436775937e-02
-4.591160191260665324e-01,-2.467952529499759656e-02
-3.802508042025278812e-01,-7.693254185482646668e-03
-4.113090043021951914e-01,1.083644984139520984e-01
-3.766723855290092238e-01,1.098988160579988382e-01
-4.669647299511912042e-01,1.619073368793253476e-01
-4.456715010692462453e-01,2.339360517747061941e-01
-3.778705764315744009e-01,2.734872149799229546e-01
-3.980142682016930555e-01,1.995264522576774835e-01
-3.901416546329483093e-01,1.992627024385616730e-01
-3.628873668123878127e-01,1.595100979480881254e-01
-3.366499659892118745e-01,1.786434973586970842e-01
-2.896856579786595276e-01,2.584422593661600542e-01
-3.205388142211028635e-01,2.536300009859766003e-01
-3.593793906713145803e-01,1.987808288043264038e-01
-4.156327734897807824e-01,1.606794255908647051e-01
-5.029523195005275449e-01,1.050647678010441510e-01
-5.173697724881162197e-01,6.450971976739953984e-02
-4.333447744792525147e-01,-1.950027484866885541e-02
-4.925846671348151906e-01,-8.624679776740680481e-02
-4.424969954456053345e-01,-4.563697564206265628e-02
-4.513609192599952746e-01,-3.188856930900218350e-02
-3.666446467465371284e-01,-7.365666663988432172e-02
-4.199057297820497081e-01,-6.815711981134500719e-02
-4.346121868485128270e-01,-1.474869978773998558e-01
-4.467291701114671776e-01,-1.041518454408439931e-01
-3.900368017674172849e-01,-1.021878631711022056e-01
-3.900368017674172849e-01,-1.021878631711022056e-01
-4.142706000143474565e-01,-4.081491161335970563e-02
-3.926669269908085180e-01,-5.229694294994732123e-02
-4.584514715139821894e-01,-1.039511954727218301e-01
-4.203281322542754550e-01,-9.544202351768096837e-02
-3.815054605964511292e-01,-9.177692205002171977e-02
-3.708035633603865011e-01,-8.080061517488010270e-02
-3.640264976777643491e-01,-1.157612575495860219e-01
-5.178056371237383937e-01,-1.520397816319692674e-01
-5.378255043605274510e-01,-2.496251464512409535e-01
-4.984811036716446098e-01,-3.105187748787317514e-01
